dose,filter,filename,snr,cnr,precision,recall,dice,exec_time_s
0.05,original,180.png,2.034000736528033,0.5243352343840161,0.2547259428135961,0.8618029889107154,0.3932250614070462,0.000228899996727705
0.05,original,181.png,2.189029021292702,0.2699682919283876,0.11335042992906522,0.648205659074106,0.1929585783621376,0.00017959997057914734
0.05,original,182.png,2.475168515536789,0.14553879673564984,0.38679245282997277,0.6284807256230127,0.4788693458654411,0.000172999978531152
0.05,original,183.png,2.1454793806032573,0.007637378047386599,0.08790492064640243,0.7861309138025792,0.15812801460044323,0.00016340002184733748
0.05,original,184.png,1.8189557008072919,0.02689183919352304,0.20041845240097175,0.7129651860735738,0.3128835971867345,0.00020219996804371476
0.05,original,185.png,1.9615557718061036,0.5126770857667013,0.1435928949755235,0.7676783479337177,0.24193270060396893,0.00016140000661835074
0.05,original,186.png,2.499631811991517,0.5193413510415359,0.31484591070707485,0.66551832132721,0.42746504844603883,0.00014329998521134257
0.05,original,187.png,2.1147478624735854,0.42896893428227273,0.5328661995326439,0.6262745098036145,0.5758067423832702,0.00019260001135990024
0.05,original,188.png,2.215858958118954,0.06423253635856652,0.21663172606562528,0.6375867683600671,0.32338686892834634,0.00012539996532723308
0.05,original,19.png,2.4569986063965463,0.47986834884948026,0.3523834722404408,0.5707449467891074,0.435738044604395,0.0001737999846227467
0.05,original,190.png,1.773423358139292,0.561028316307216,0.22092152725772754,0.5685759327367865,0.3182040976374865,0.00015079998411238194
0.05,original,191.png,2.4535738028245024,0.3537445387798757,0.25435186003346544,0.8065284393376204,0.386739218057235,0.00012149999383836985
0.05,original,192.png,2.140161939540358,0.1729156165741332,0.08854902196445764,0.8933010003004144,0.1611262985237835,0.00012740003876388073
0.05,original,193.png,1.9379740148069038,0.2528857561252648,0.49959242822185507,0.7871566179088211,0.6112419314624484,0.0001256999676115811
0.05,original,194.png,2.5208444337830307,0.5562546503566965,0.2453189061244155,0.6107544985787532,0.35003920149568785,0.0001941000227816403
0.05,original,195.png,2.1703248086915954,0.2621023863764333,0.22879275544153926,0.7022185014644602,0.34513547431439917,0.00016580004012212157
0.05,original,196.png,2.1371964121089975,0.3907739066064178,0.3372056015275105,0.7518628030742142,0.4655949024059765,0.00021039997227489948
0.05,original,197.png,2.1774480049874265,0.4735305657694286,0.19073322932911366,0.7272186533419852,0.30220486454419615,0.0001020999625325203
0.05,original,198.png,2.24921814241977,0.25954984946831583,0.29365480807050703,0.7210377423578823,0.41734060184907845,0.00016110000433400273
0.05,original,199.png,2.1768159118869828,0.6544262894761718,0.36036508602582856,0.7195224130700465,0.48021809031175733,0.00017740001203492284
0.05,original,2.png,1.8657730287234022,0.31343505501910635,0.3343527580069315,0.5507418941192976,0.41609577191889835,0.00012289994629099965
0.05,original,20.png,2.381435071640616,0.3958866990579893,0.22545438145482097,0.6476227490599201,0.3344707614077345,0.0001841000048443675
0.05,original,200.png,2.0552635055588535,0.35300948791440484,0.26019520314736316,0.8389851183205184,0.3972048972048972,0.00014379998901858926
0.05,original,21.png,2.322563449751369,0.468290570731955,0.19200783134629515,0.6266544956633653,0.29394920651912115,0.00010870001278817654
0.05,original,22.png,1.7510932554497578,0.1629292021558949,0.3102895571273179,0.5761143818331007,0.4033426940846091,0.0001446999958716333
0.05,original,23.png,1.8071204847541333,0.21153856470988738,0.29234265179924307,0.6524354287054458,0.40376614845631703,0.00015630002599209547
0.05,original,24.png,2.2764583169634,0.5168965291933963,0.42542190602232566,0.6795058139530394,0.5232498982498982,0.0001917000045068562
0.05,original,25.png,2.4281569649949053,0.047155415466986324,0.13890849211946046,0.5635214123815298,0.22287749758203393,0.00015899998834356666
0.05,original,26.png,2.196143751844844,0.45546857911166794,0.3269262818730476,0.7267226475664031,0.4509751331468639,0.00013010000111535192
0.05,original,27.png,1.7312874823145106,0.8542565889955613,0.48849539815877496,0.3935998710298294,0.4359432193554147,0.00023720000172033906
0.05,original,28.png,2.044462822118061,0.12767824969036465,0.2778530417390634,0.6329169728131772,0.38617412355420067,8.900003740563989e-05
0.05,original,29.png,2.164223411087984,0.18607488338318384,0.25617772367604613,0.9001283147970485,0.3988439306358382,0.00011010002344846725
0.05,original,3.png,2.3833264170497843,0.5242864031843385,0.29509864887766685,0.6608431447010243,0.40800375175863685,0.00013890000991523266
0.05,original,30.png,2.1755091168727474,0.38733450973122324,0.522070393374525,0.6750910259152522,0.5888011955354224,0.00021020002895966172
0.05,original,31.png,2.174240282629431,0.5094712918774194,0.4114993438318522,0.6032585823359566,0.4892605505034498,0.00013699999544769526
0.05,original,32.png,2.2525390824419134,0.3423461296829873,0.12518135917818898,0.6217034154768386,0.20840076326658777,0.0002060999977402389
0.05,original,33.png,2.3822652865165344,0.17362810356804093,0.3537117903928586,0.7290072900722445,0.47631648584281555,0.00011929997708648443
0.05,original,34.png,2.398044069710902,0.6255449982656948,0.18570018101031605,0.7880586592169598,0.3005726461579438,0.00020859995856881142
0.05,original,35.png,2.3450790420286083,0.6264490305077585,0.27930144389760453,0.7982708933708377,0.4138157698168454,0.00016629998572170734
0.05,original,36.png,2.1455610945506733,0.20264338896583028,0.4115556257650126,0.6446643983911879,0.5023863472014656,0.0001324999611824751
0.05,original,37.png,2.086986388828038,0.5971681171270692,0.4466411002377369,0.5606274379611912,0.49718470540610166,0.00025209999876096845
0.05,original,38.png,2.0517355408662428,0.18666068897220722,0.16290639457501652,0.7683455387822922,0.26881748542445555,9.879999561235309e-05
0.05,original,39.png,2.381196648561236,0.38372410832312864,0.547748004560613,0.7083218136570746,0.6177711690712535,0.00010609999299049377
0.05,original,4.png,2.277481102804906,0.31259253378589424,0.3982848705131768,0.6812044681877792,0.5026699638031753,0.00022449996322393417
0.05,original,40.png,2.201657491143119,0.33008800037404934,0.09621197748686572,0.7942988409723354,0.17163421402946685,0.0001770000089891255
0.05,original,41.png,2.1246416275485993,0.29103816858632336,0.23441682600371203,0.600171337656835,0.33714894640954246,0.00014590000500902534
0.05,original,42.png,1.9862246669525487,0.11473612743895922,0.161497650447124,0.7427495817056013,0.2653086634957791,0.00016240001423284411
0.05,original,43.png,2.1750976078516207,0.405937595042967,0.13329680456274234,0.727272727271739,0.22529993685539887,0.00012560002505779266
0.05,original,44.png,2.525730940520983,0.3736714426598157,0.5789068165334577,0.7201330551949483,0.6418431697696038,9.200000204145908e-05
0.05,original,45.png,2.2902820654473675,0.28065603179899157,0.2015950960682195,0.7647205900728032,0.3190756872359293,9.700004011392593e-05
